,region,price,description,dateStata,dateISO,year
34,10,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
35,10,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
36,7,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
37,6,4.4000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
38,13,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
39,12,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
40,12,2.3,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
41,9,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
42,12,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
43,3,2.3,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
44,10,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
45,2,2.3,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
46,4,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
47,3,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
48,9,2.3,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
49,9,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
50,2,3.8,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
51,5,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
52,8,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
53,3,2.5,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
54,2,3.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
55,8,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
56,4,2.45,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
57,6,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
58,5,3.9000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
59,7,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
60,11,3.9000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
61,3,2.4000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
62,9,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
63,4,3.9000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
64,3,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
65,5,2.4000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
66,6,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
67,12,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
68,7,2.4000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
69,5,3.9000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
70,4,2.55,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
71,5,2.5,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
72,2,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
73,6,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
74,8,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
75,7,2.3,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
76,4,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
77,3,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
78,7,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
79,11,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
80,3,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
81,6,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
82,11,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
83,2,7.0,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
84,2,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
85,9,2.25,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
86,3,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
87,8,2.3,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
88,13,4.0,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
89,5,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
90,9,3.9000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
91,2,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
92,4,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
93,12,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
94,8,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
95,9,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
96,3,2.4000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
97,2,4.9899998,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
98,7,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
99,2,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
100,4,2.4000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
101,2,2.4000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
102,9,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
103,12,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
104,9,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
105,3,3.9000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
106,10,2.0,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
107,5,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
108,13,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
109,9,4.9899998,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
110,4,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
111,3,2.4000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
112,6,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
113,12,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
114,4,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
115,3,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
116,12,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
117,2,2.5,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
118,8,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
119,7,2.3499999,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
120,8,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
121,7,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
122,13,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
123,3,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
124,8,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
125,8,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
126,10,2.3,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
127,11,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
128,6,2.3,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
129,11,2.3,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
130,10,4.0,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
131,2,2.4000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
132,7,2.6900001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
133,3,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
134,7,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
135,7,4.0,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
136,9,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
137,3,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
138,2,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
139,6,2.4000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
140,3,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
141,7,1.4,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
142,6,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
143,4,1.8,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
144,11,2.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
145,3,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
146,7,2.4000001,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
147,6,1.6,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
148,4,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
149,6,1.2,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
150,3,1.6,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
151,2,1.75,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
152,7,1.1,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
153,3,0.80000001,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
154,12,1.75,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
155,3,1.8,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
156,5,1.8,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
157,13,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
158,7,1.8,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
159,5,1.6900001,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
160,12,2.4000001,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
161,3,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
162,3,2.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
163,9,0.88999999,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
164,12,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
165,9,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
166,10,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
167,8,1.8,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
168,2,1.05,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
169,11,1.33,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
170,7,1.4,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
171,12,1.75,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
172,3,1.2,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
173,11,0.75,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
174,7,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
175,3,1.6,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
176,3,1.1,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
177,6,0.69999999,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
178,2,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
179,5,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
180,5,1.33,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
181,7,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
182,3,1.75,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
183,10,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
184,2,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
185,3,0.88999999,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
186,2,1.75,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
187,8,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
188,4,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
189,13,1.75,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
190,3,2.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
191,8,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
192,8,0.94999999,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
193,6,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
194,9,0.94999999,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
195,5,0.89999998,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
196,11,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
197,7,1.2,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
198,4,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
199,4,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
200,4,2.2,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
201,11,0.94999999,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
202,2,3.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
203,12,1.2,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
204,2,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
205,10,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
206,5,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
207,10,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
208,7,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
209,4,1.75,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
210,13,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
211,3,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
212,12,2.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
213,8,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
214,5,2.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
215,6,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
216,10,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
217,10,2.4000001,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
218,8,1.65,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
219,2,1.8,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
220,13,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
221,4,1.6,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
222,3,1.75,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
223,6,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
224,7,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
225,9,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
226,2,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
227,7,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
228,3,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
229,12,0.88999999,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
230,2,2.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
231,5,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
232,5,1.75,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
233,12,0.85000002,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
234,9,2.4000001,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
235,9,2.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
236,8,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
237,3,1.75,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
238,9,1.33,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
239,6,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
240,8,0.94999999,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
241,5,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
242,12,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
243,13,1.1,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
244,4,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
245,9,2.4000001,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
246,11,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
247,9,2.4000001,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
248,4,0.94999999,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
249,12,1.8,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
250,3,1.6,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
251,9,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
252,9,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
253,11,1.8,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
254,6,1.8,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
255,4,0.89999998,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
256,2,1.75,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
257,3,1.1,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
258,9,1.8,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
259,3,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
260,2,1.05,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
261,10,1.8,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
262,5,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020
263,10,5.0,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
264,12,3.5,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
265,9,5.29,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
266,2,1.29,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
267,7,5.0,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
268,4,3.0,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
269,9,3.49,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
270,9,3.0,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
271,3,5.0,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
272,9,1.99,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
273,2,5.4899998,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
274,6,1.29,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
275,3,8.5,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
276,8,7.9899998,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
277,3,4.5,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
278,7,1.29,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
279,11,2.75,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
280,8,4.4499998,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
281,3,3.49,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
282,5,1.29,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
283,13,3.5,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
284,11,5.0,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
285,3,5.0,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
286,7,5.4899998,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
287,7,2.5,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
288,13,3.0,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
289,8,5.0,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
290,11,4.5,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
291,9,2.99,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
292,9,5.4899998,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
293,3,3.49,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
294,4,1.99,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
295,2,5.0,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
296,2,6.9899998,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
297,11,2.0,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
298,8,3.0,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
299,12,1.99,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
300,3,3.0,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
301,6,5.0,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
302,3,2.75,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
303,5,3.5,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
304,3,9.1400003,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
305,4,5.0,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
306,9,2.5,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020
