,region,price,description,dateStata,dateISO,year,month
24,5,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
25,8,3.9000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
26,9,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
27,5,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
28,4,2.3,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
29,5,3.6900001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
30,7,2.29,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
31,10,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
32,9,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
33,7,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
34,10,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
35,10,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
36,7,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
37,6,4.4000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
38,13,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
39,12,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
40,12,2.3,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
41,9,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
42,12,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
43,3,2.3,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
44,10,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
45,2,2.3,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
46,4,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
47,3,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
48,9,2.3,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
49,9,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
50,2,3.8,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
51,5,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
52,8,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
53,3,2.5,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
54,2,3.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
55,8,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
56,4,2.45,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
57,6,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
58,5,3.9000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
59,7,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
60,11,3.9000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
61,3,2.4000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
62,9,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
63,4,3.9000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
64,3,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
65,5,2.4000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
66,6,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
67,12,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
68,7,2.4000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
69,5,3.9000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
70,4,2.55,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
71,5,2.5,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
72,2,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
73,6,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
74,8,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
75,7,2.3,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
76,4,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
77,3,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
78,7,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
79,11,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
80,3,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
81,6,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
82,11,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
83,2,7.0,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
84,2,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
85,9,2.25,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
86,3,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
87,8,2.3,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
88,13,4.0,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
89,5,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
90,9,3.9000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
91,2,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
92,4,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
93,12,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
94,8,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
95,9,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
96,3,2.4000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
97,2,4.9899998,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
98,7,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
99,2,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
100,4,2.4000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
101,2,2.4000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
102,9,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
103,12,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
104,9,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
105,3,3.9000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
106,10,2.0,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
107,5,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
108,13,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
109,9,4.9899998,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
110,4,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
111,3,2.4000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
112,6,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
113,12,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
114,4,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
115,3,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
116,12,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
117,2,2.5,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
118,8,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
119,7,2.3499999,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
120,8,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
121,7,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
122,13,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
123,3,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
124,8,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
125,8,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
126,10,2.3,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
127,11,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
128,6,2.3,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
129,11,2.3,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
130,10,4.0,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
131,2,2.4000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
132,7,2.6900001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
133,3,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
134,7,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
135,7,4.0,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
136,9,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
137,3,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
138,2,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
139,6,2.4000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
140,3,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
141,7,1.4,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
142,6,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
143,4,1.8,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
144,11,2.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
145,3,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
146,7,2.4000001,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
147,6,1.6,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
148,4,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
149,6,1.2,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
150,3,1.6,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
151,2,1.75,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
152,7,1.1,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
153,3,0.80000001,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
154,12,1.75,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
155,3,1.8,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
156,5,1.8,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
157,13,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
158,7,1.8,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
159,5,1.6900001,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
160,12,2.4000001,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
161,3,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
162,3,2.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
163,9,0.88999999,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
164,12,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
165,9,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
166,10,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
167,8,1.8,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
168,2,1.05,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
169,11,1.33,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
170,7,1.4,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
171,12,1.75,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
172,3,1.2,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
173,11,0.75,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
174,7,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
175,3,1.6,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
176,3,1.1,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
177,6,0.69999999,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
178,2,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
179,5,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
180,5,1.33,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
181,7,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
182,3,1.75,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
183,10,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
184,2,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
185,3,0.88999999,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
186,2,1.75,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
187,8,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
188,4,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
189,13,1.75,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
190,3,2.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
191,8,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
192,8,0.94999999,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
193,6,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
194,9,0.94999999,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
195,5,0.89999998,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
196,11,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
197,7,1.2,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
198,4,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
199,4,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
200,4,2.2,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
201,11,0.94999999,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
202,2,3.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
203,12,1.2,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
204,2,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
205,10,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
206,5,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
207,10,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
208,7,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
209,4,1.75,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
210,13,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
211,3,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
212,12,2.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
213,8,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
214,5,2.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
215,6,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
216,10,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
217,10,2.4000001,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
218,8,1.65,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
219,2,1.8,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
220,13,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
221,4,1.6,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
222,3,1.75,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
223,6,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
224,7,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
225,9,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
226,2,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
227,7,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
228,3,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
229,12,0.88999999,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
230,2,2.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
231,5,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
232,5,1.75,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
233,12,0.85000002,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
234,9,2.4000001,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
235,9,2.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
236,8,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
237,3,1.75,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
238,9,1.33,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
239,6,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
240,8,0.94999999,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
241,5,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
242,12,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
243,13,1.1,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
244,4,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
245,9,2.4000001,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
246,11,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
247,9,2.4000001,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
248,4,0.94999999,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
249,12,1.8,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
250,3,1.6,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
251,9,1.0,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
252,9,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
253,11,1.8,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
254,6,1.8,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
255,4,0.89999998,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
256,2,1.75,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
257,3,1.1,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
258,9,1.8,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
259,3,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
260,2,1.05,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
261,10,1.8,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
262,5,1.5,TISSUES-LARGE SIZE BOX,01-10-2020,2020-10-01,2020,10
263,10,5.0,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
264,12,3.5,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
265,9,5.29,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
266,2,1.29,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
267,7,5.0,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
268,4,3.0,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
269,9,3.49,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
270,9,3.0,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
271,3,5.0,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
272,9,1.99,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
273,2,5.4899998,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
274,6,1.29,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
275,3,8.5,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
276,8,7.9899998,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
277,3,4.5,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
278,7,1.29,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
279,11,2.75,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
280,8,4.4499998,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
281,3,3.49,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
282,5,1.29,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
283,13,3.5,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
284,11,5.0,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
285,3,5.0,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
286,7,5.4899998,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
287,7,2.5,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
288,13,3.0,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
289,8,5.0,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
290,11,4.5,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
291,9,2.99,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
292,9,5.4899998,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
293,3,3.49,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
294,4,1.99,MULTI-VITAMINS CAPSULES/TABLET,01-10-2020,2020-10-01,2020,10
